Cell line	File name	md5	FTP url	Assay	Description	Instrument	Cell type	Biosample	Archive	Accession type	Accession	Archive url	Cell line growing conditions for this assay	Cell line passage number for this assay	Disease status	Sex	Assay description
HPSI0114i-bezi_3	14980_6#3.cram	8f32281d1991f45807fa20a3b9955816	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR947/ERR947009/14980_6%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2518324	ENA	RUN_ID	ERR947009	http://www.ebi.ac.uk/ena/data/view/ERR947009	Feeder-free	29	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-bezi_3	14963_6#3.cram	795d800809985e221d655b9a72bea71c	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR946/ERR946984/14963_6%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2518324	ENA	RUN_ID	ERR946984	http://www.ebi.ac.uk/ena/data/view/ERR946984	Feeder-free	29	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-eipl_1	15656_5#7.cram	d8c2d26422c8b2b3043d21b440d34136	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR914/ERR914306/15656_5%237.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2536417	ENA	RUN_ID	ERR914306	http://www.ebi.ac.uk/ena/data/view/ERR914306	Feeder-free	33	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-eipl_1	15669_5#7.cram	a1c3395b9bb0cd470e960faa8e991b70	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR914/ERR914342/15669_5%237.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2536417	ENA	RUN_ID	ERR914342	http://www.ebi.ac.uk/ena/data/view/ERR914342	Feeder-free	33	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-fikt_3	15656_3#5.cram	d9d6aba56bdff55a712647084265d532	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR914/ERR914288/15656_3%235.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2547619	ENA	RUN_ID	ERR914288	http://www.ebi.ac.uk/ena/data/view/ERR914288	Feeder-free	36	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-fikt_3	15669_3#5.cram	cd5e4a1583bcc318bd7bf722870f7e66	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR914/ERR914324/15669_3%235.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2547619	ENA	RUN_ID	ERR914324	http://www.ebi.ac.uk/ena/data/view/ERR914324	Feeder-free	36	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-kolf_2	17718_2#3.cram	9add7edc5d1612582aab4bb3da93d4b2	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR120/ERR1203463/17718_2%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2547615	ENA	RUN_ID	ERR1203463	http://www.ebi.ac.uk/ena/data/view/ERR1203463	Feeder-free	18	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0114i-kolf_2	17965_2#3.cram	01303a3da0dcc693d38e45d7c7c48be9	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR1243466/17965_2%233.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2547615	ENA	RUN_ID	ERR1243466	http://www.ebi.ac.uk/ena/data/view/ERR1243466	Feeder-free	18	Normal	male	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=200"
HPSI0114i-lexy_2	14980_1#1.cram	315aaf066b58cddeacd6d8cce384f60a	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR946/ERR946993/14980_1%231.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2536404	ENA	RUN_ID	ERR946993	http://www.ebi.ac.uk/ena/data/view/ERR946993	Feeder-free	25	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
HPSI0114i-lexy_2	14963_1#1.cram	ba7e191c6dcef8b1c3e6a7f3088332ee	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR946/ERR946968/14963_1%231.cram	RNA-seq	Raw sequencing reads	Illumina HiSeq 2000	iPSC	SAMEA2536404	ENA	RUN_ID	ERR946968	http://www.ebi.ac.uk/ena/data/view/ERR946968	Feeder-free	25	Normal	female	"INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550"
